,gage_id,year,burned_area,basin_area,burned_prop,snowy_area,snowy_burned_area,snowy_prop,sba_xs_prop,sba_prop
23,10173450,2017.0,17937140.913818434,268526726.1246307,0.0667983450760626,268526726.1246314,17937140.913818438,1.0000000000000027,-2.4424906541753444e-15,1.0000000000000002
24,10194200,2010.0,105386410.78084122,425825902.45582664,0.24748708374257142,425825902.45582837,105386410.78084141,1.000000000000004,-2.220446049250313e-15,1.0000000000000018
25,10263500,2002.0,3218579.1022721967,59464133.43215265,0.05412639378566794,37706163.098947115,3218579.1022721967,0.6340992615652773,0.3659007384347227,1.0
26,10296500,2002.0,52863154.12967031,632124614.0901351,0.08362774198527335,632124614.0901338,52863154.12967033,0.9999999999999979,2.55351295663786e-15,1.0000000000000004
27,10308200,2015.0,73929533.50851692,716421152.4576812,0.1031928402098428,716421152.4576814,73929533.50851709,1.0000000000000002,1.9984014443252818e-15,1.0000000000000022
28,10316500,2018.0,24568138.51036403,64778675.60478712,0.3792627478254349,64778675.604787044,24568138.51036408,0.9999999999999989,3.3306690738754696e-15,1.0000000000000022
29,10396000,1999.0,47126432.368386984,528893680.24529105,0.08910379179900697,528893680.2452916,47126432.36838695,1.000000000000001,-1.887379141862766e-15,0.9999999999999992
30,11055800,2003.0,46817163.77573393,50534104.41256026,0.9264468880959829,2733457.2101629362,2441083.532980264,0.054091335780822404,-0.0019505537233344208,0.05214078205748798
31,11062001,2003.0,54632620.254408695,119725773.05556956,0.4563146168123007,50517394.32469384,9806866.184184073,0.4219425194377044,-0.24243682964072477,0.17950568979697962
32,11113500,2017.0,87916276.83431336,103259642.89711493,0.8514098477166991,2627957.8610491846,0.0,0.02544999950917523,-0.02544999950917523,0.0
33,11124500,2007.0,136099915.24608517,191521235.57944602,0.710625716434608,1978712.3579667124,905032.7408401305,0.010331555934150766,-0.0036817888185451363,0.00664976711560563
34,11143000,2008.0,120597472.87889716,120614807.09610237,0.9998562845008623,0.0,0.0,0.0,0.0,0.0
